pm25	pm10
7.4	10.6
7.3	9.6
7.3	9.8
7.3	9.9
7.4	10.1
7.4	10.3
7.4	10.4
7.4	10.6
7.4	10.7
7.4	10.7
7.4	10.8
7.4	11.2
7.4	11.5
7.4	11.9
7.4	11.8
7.4	11.8
7.4	11.7
7.4	11.5
7.4	11.3
7.5	11.1
7.5	11.1
7.5	11.2
7.5	11.2
7.6	11.3
7.6	11.5
7.7	11.6
7.7	12.3
7.6	13.1
7.6	13.9
7.6	14.3
7.6	14.7
7.7	15.1
7.7	15.4
7.7	15.7
7.8	16
7.8	16
7.8	16
7.8	16
7.9	16.1
7.9	16.1
7.9	16.1
8	16.1
8	16.1
8	16.1
8	16.2
8	16.3
8	16.3
8	16.3
8	16.3
8	16.4
8	16.3
8	16.3
8	16.3
8	16.4
8	16.4
8	16.5
8	16.5
8	16.6
8	16.7
8.1	17
8.1	17.3
8.1	17.6
8	17.5
8	17.3
7.9	17.2
7.9	17.1
7.9	16.9
7.9	16.8
7.9	16.7
7.9	16.7
7.9	16.7
7.9	16.3
7.9	15.8
7.8	15.4
7.8	15.4
7.8	15.4
7.8	15.4
7.8	15.4
7.8	15.3
7.8	15.3
7.7	15.1
7.7	14.9
7.6	14.7
7.5	14.5
7.3	14.3
7.2	14.1
7.2	13.3
7.1	12.5
7.1	11.7
7	11.3
6.9	11
6.9	10.6
6.9	10.3
6.8	10
6.8	9.7
6.8	9.6
6.7	9.5
6.7	9.5
6.7	9.5
6.6	9.4
6.6	9.4
6.6	9.4
6.5	9.3
6.5	9.2
6.4	9.1
6.4	9
6.3	8.9
6.3	9
6.3	9
6.3	9.1
6.4	9.1
6.4	9.1
6.4	9.2
6.4	9
6.4	8.8
6.4	8.6
6.4	9.1
6.4	9.6
6.4	10.1
6.4	9.7
6.3	9.4
6.3	9
6.3	9
6.4	9.1
6.4	9.1
6.4	9.1
6.4	9
6.3	9
6.4	9.7
6.4	10.4
6.4	11.2
6.4	11.3
6.4	11.3
6.4	11.4
6.3	11.4
6.3	11.4
6.3	11.4
6.3	11.4
6.3	11.4
6.3	11.4
6.3	11.4
6.3	11.4
6.3	11.4
6.3	11.4
6.4	11.4
6.4	11.4
6.4	11.3
6.4	11.2
6.3	11.1
6.4	11.2
6.4	11.4
6.4	11.5
6.4	11.6
6.4	11.6
6.4	11.7
6.4	11.8
6.4	12
6.5	12.1
6.5	12.2
6.5	12.4
6.5	12.5
6.5	12.6
6.6	12.7
6.6	12.9
6.6	12.9
6.7	12.9
6.7	12.9
6.8	13.1
