pm25	pm10
4387.1	0
5.3	10
5.2	9.8
5.2	9.7
5.2	9.5
5.2	9.3
5.1	9.2
5.1	9
5.1	8.9
5.1	8.8
5.1	8.8
5.1	8.7
5	8.7
5.1	8.9
5.1	9.2
5.1	9.4
5.1	9.3
5.1	9.3
5.1	9.2
5.1	9.2
5.1	9.2
5.1	9.2
5.1	9.1
5.1	9
5.1	8.9
5	8.9
5	8.8
5	8.8
5	8.5
5	8.6
5	8.6
5	8.5
5	8.4
5	8.4
5	8.4
5.1	8.5
5.1	8.3
5.2	8.4
5.2	8.5
5.3	8.6
5.3	8.4
5.3	8.2
5.3	8
5.3	8
5.3	8
5.3	8
5.3	8
5.4	8
5.4	8
5.4	8.2
5.5	8.5
5.5	8.8
5.5	9.3
5.5	9.7
5.4	10.2
5.4	10.2
5.4	10.3
5.4	10.3
5.4	10.2
5.4	10
5.3	9.9
5.4	10
5.4	10.2
5.4	10.3
5.5	10.9
5.5	11.4
5.5	11.9
5.6	11.9
5.6	11.9
5.6	11.9
5.6	11.9
5.6	11.9
5.6	11.9
5.6	11.8
5.6	11.6
5.6	11.5
5.6	11.5
5.6	11.4
5.7	11.4
5.7	11.6
5.7	11.8
5.7	12
5.8	12
5.8	12
5.8	12
5.8	12
5.9	12
5.9	12
5.9	11.9
5.8	11.8
5.8	11.7
5.8	11.7
5.8	11.6
5.8	11.6
5.8	11.6
5.7	11.5
5.7	11.5
5.6	11.5
5.6	11.6
5.5	11.6
5.5	11.6
5.6	11.5
5.6	11.4
5.6	11.5
5.5	11.6
5.5	11.7
5.5	11.7
5.5	11.6
5.5	11.6
5.5	11.5
5.5	11.4
5.5	11.3
5.4	10.7
5.4	10.1
5.4	9.5
5.4	9.6
5.4	9.7
5.4	9.7
5.4	9.8
5.4	9.8
5.4	9.9
5.4	9.9
5.4	9.9
5.4	9.8
5.4	9.3
5.3	8.8
5.3	8.3
5.3	8.4
5.3	8.5
5.3	8.5
5.3	8.6
5.3	8.7
5.4	8.7
5.3	8.6
5.3	8.5
5.2	8.4
5.2	8.4
5.2	8.5
5.2	8.6
5.2	8.3
5.2	8.1
5.2	7.9
5.2	8
5.1	8
5.1	8.1
5.1	8.1
5.2	8.2
5.2	8.2
5.2	8.3
5.3	8.4
5.3	8.5
5.4	8.6
5.4	8.8
5.5	8.9
5.5	8.8
5.5	8.7
5.4	8.6
5.4	8.5
5.4	8.3
5.4	8.2
5.4	8.1
5.3	8.1
5.3	8
5.4	8
5.4	8
5.4	8
5.4	8
5.4	8
5.4	8
5.4	8
5.4	7.9
5.5	7.9
5.4	7.9
5.4	7.9
5.4	7.9
5.4	7.8
5.4	7.7
5.4	7.6
5.4	7.6
5.5	7.6
5.5	7.6
5.4	7.5
5.4	7.4
5.4	7.4
5.4	7.4
5.5	7.4
5.5	7.4
5.5	7.5
5.6	7.5
5.6	7.6
5.6	7.5
5.6	7.4
5.5	7.3
5.6	7.3
5.6	7.3
5.6	7.3
5.6	7.5
5.5	7.6
5.5	7.7
5.5	7.7
5.5	7.7
5.5	7.7
5.5	7.6
5.4	7.5
5.4	7.4
5.4	7.4
5.4	7.4
5.4	7.4
5.4	7.3
5.4	7.3
5.3	7.3
5.3	7.4
5.3	7.6
5.3	7.8
5.3	7.8
5.3	7.8
5.3	7.8
5.3	8.1
5.4	8.4
5.4	8.6
5.4	8.6
5.3	8.7
5.3	8.7
5.3	8.9
5.3	9.2
5.3	9.5
5.3	9.4
5.3	9.3
5.3	9.2
5.2	9.3
5.2	9.3
5.1	9.4
5.1	9.5
5.1	9.7
5.1	9.9
5.1	10
5.1	10
5.1	10.1
5.1	10.2
5.2	10.2
5.2	10.2
5.2	10.2
5.2	10.2
5.2	10.1
5.2	10.5
5.2	10.9
5.2	11.3
5.2	11.2
5.1	11.1
5.1	10.9
5.1	11
5.1	11
5.1	11
5.1	11.1
5.1	11.2
5.1	11.2
5.1	11
5.1	10.8
5.1	10.6
5.1	10.6
5.1	10.6
5.1	10.6
5.1	10.6
5.1	10.6
5.1	10.6
5.1	11.1
5.2	11.6
5.2	12
5.2	12.1
5.2	12.1
5.2	12.1
5.2	11.9
5.3	11.6
5.3	11.4
5.3	11.4
5.3	11.4
5.4	11.5
5.3	11.2
5.3	10.9
5.3	10.6
5.3	11.1
5.3	11.5
5.3	11.9
5.3	11.5
5.3	11.1
5.3	10.8
5.3	10.9
5.3	11
5.3	11.1
5.4	11
5.4	10.9
5.4	10.8
5.4	10.6
5.4	10.5
5.4	10.3
5.4	10.2
5.4	10.1
5.4	10
5.4	9.9
5.3	9.8
5.3	9.7
5.3	9.8
5.3	9.9
5.3	9.9
5.3	9.6
5.4	9.3
5.4	9
5.4	9
5.4	9
5.4	9
5.4	9.2
5.4	9.4
5.5	9.6
5.4	9.9
5.4	10.3
5.4	10.7
5.5	10.9
5.5	11.2
5.6	11.4
5.6	11.7
5.6	11.9
5.6	12.2
5.6	12.4
5.6	12.6
5.6	12.8
5.6	12.4
5.6	12
5.5	11.5
5.5	11.5
5.5	11.5
5.5	11.5
5.4	11.4
5.4	11.3
5.3	11.2
5.3	11.3
5.3	11.5
5.2	11.6
5.2	11.6
5.2	11.6
5.2	11.6
5.2	11.2
5.2	10.7
5.2	10.2
5.2	10.7
5.2	11.1
5.3	11.5
5.3	11.6
5.3	11.8
5.2	11.9
5.2	11.8
5.2	11.8
5.2	11.7
5.2	11.7
5.3	11.8
5.3	11.8
5.3	11.8
5.3	11.8
5.2	11.8
5.2	11.8
5.3	11.9
5.3	11.9
5.3	11.9
5.2	12
5.2	12
5.2	12
5.2	12
5.2	12
5.2	12.2
5.2	12.3
5.2	12.4
5.1	12.2
5.1	12
5.1	11.7
5.1	11.4
5.2	11
